"Ensembl_nodot"	"ENTREZID"	"Symbol"	"gene_type"	"Chr"	"Start"	"End"	"Strand"
"ENSG00000105464"	"2906"	"GRIN2D"	"protein_coding"	"chr19"	48898132	48948188	"+"
"ENSG00000105467"	"23546"	"SYNGR4"	"protein_coding"	"chr19"	48867652	48879633	"+"
"ENSG00000105472"	"6320"	"CLEC11A"	"protein_coding"	"chr19"	51226586	51228974	"+"
"ENSG00000105479"	"93233"	"CCDC114"	"protein_coding"	"chr19"	48799714	48825151	"-"
"ENSG00000105483"	"22900"	"CARD8"	"protein_coding"	"chr19"	48684027	48759203	"-"
"ENSG00000105486"	"3978"	"LIG1"	"protein_coding"	"chr19"	48618702	48673860	"-"
"ENSG00000105492"	"946"	"SIGLEC6"	"protein_coding"	"chr19"	52022779	52035110	"-"
"ENSG00000105497"	"7728"	"ZNF175"	"protein_coding"	"chr19"	52074551	52092991	"+"
"ENSG00000105499"	"8605"	"PLA2G4C"	"protein_coding"	"chr19"	48551100	48614074	"-"
"ENSG00000105501"	"8778"	"SIGLEC5"	"protein_coding"	"chr19"	52114781	52150151	"-"
"ENSG00000105507"	"56344"	"CABP5"	"protein_coding"	"chr19"	48533210	48547310	"-"
"ENSG00000105509"	"3036"	"HAS1"	"protein_coding"	"chr19"	52216365	52227247	"-"
"ENSG00000105514"	"9545"	"RAB3D"	"protein_coding"	"chr19"	11432722	11456946	"-"
"ENSG00000105516"	"1628"	"DBP"	"protein_coding"	"chr19"	49133287	49140695	"-"
"ENSG00000105518"	"374882"	"TMEM205"	"protein_coding"	"chr19"	11453452	11457194	"-"
"ENSG00000105519"	"828"	"CAPS"	"protein_coding"	"chr19"	5911718	5915888	"+"
"ENSG00000105520"	"64748"	"DKFZP761J1410"	"protein_coding"	"chr19"	11466062	11476374	"+"
"ENSG00000105523"	"54854"	"FAM83E"	"protein_coding"	"chr19"	49104067	49118111	"-"
"ENSG00000105538"	"54922"	"RASIP1"	"protein_coding"	"chr19"	49223844	49243978	"-"
"ENSG00000105549"	"51298"	"THEG"	"protein_coding"	"chr19"	361750	376013	"-"
"ENSG00000105550"	"26291"	"FGF21"	"protein_coding"	"chr19"	49258816	49261587	"+"
"ENSG00000105552"	"587"	"BCAT2"	"protein_coding"	"chr19"	49298319	49314286	"-"
"ENSG00000105556"	"54531"	"MIER2"	"protein_coding"	"chr19"	305575	344798	"-"
"ENSG00000105559"	"57664"	"PLEKHA4"	"protein_coding"	"chr19"	49340354	49371889	"-"
"ENSG00000105568"	"5518"	"PPP2R1A"	"protein_coding"	"chr19"	52693292	52730687	"+"
"ENSG00000105576"	"30000"	"TNPO2"	"protein_coding"	"chr19"	12810008	12834825	"-"
"ENSG00000105583"	"51398"	"WDR83OS"	"protein_coding"	"chr19"	12778885	12782170	"-"
"ENSG00000105605"	"59284"	"CACNG7"	"protein_coding"	"chr19"	54412589	54447195	"+"
"ENSG00000105607"	"2639"	"GCDH"	"protein_coding"	"chr19"	13001840	13025021	"+"
"ENSG00000105609"	"10990"	"LILRB5"	"protein_coding"	"chr19"	54754263	54761164	"-"
"ENSG00000105610"	"10661"	"KLF1"	"protein_coding"	"chr19"	12995237	12997995	"-"
"ENSG00000105612"	"1777"	"DNASE2"	"protein_coding"	"chr19"	12986025	12992282	"-"
"ENSG00000105613"	"22983"	"MAST1"	"protein_coding"	"chr19"	12944765	12985765	"+"
"ENSG00000105617"	"79165"	"LENG1"	"protein_coding"	"chr19"	54658899	54663620	"-"
"ENSG00000105618"	"26121"	"PRPF31"	"protein_coding"	"chr19"	54618837	54635140	"+"
"ENSG00000105619"	"29844"	"TFPT"	"protein_coding"	"chr19"	54610320	54619055	"-"
"ENSG00000105639"	"3718"	"JAK3"	"protein_coding"	"chr19"	17935589	17958880	"-"
"ENSG00000105640"	"6142"	"RPL18A"	"protein_coding"	"chr19"	17970685	17974962	"+"
"ENSG00000105641"	"6528"	"SLC5A5"	"protein_coding"	"chr19"	17982782	18005983	"+"
"ENSG00000105642"	"3780"	"KCNN1"	"protein_coding"	"chr19"	18062102	18110889	"+"
"ENSG00000105643"	"27106"	"ARRDC2"	"protein_coding"	"chr19"	18111941	18124911	"+"
"ENSG00000105647"	"5296"	"PIK3R2"	"protein_coding"	"chr19"	18263928	18281350	"+"
"ENSG00000105649"	"5864"	"RAB3A"	"protein_coding"	"chr19"	18307594	18314884	"-"
"ENSG00000105650"	"5143"	"PDE4C"	"protein_coding"	"chr19"	18318771	18366229	"-"
"ENSG00000105650"	"729966"	"PDE4C"	"protein_coding"	"chr19"	18318771	18366229	"-"
"ENSG00000105655"	"51477"	"ISYNA1"	"protein_coding"	"chr19"	18545198	18549111	"-"
"ENSG00000105656"	"8178"	"ELL"	"protein_coding"	"chr19"	18553473	18632937	"-"
"ENSG00000105662"	"23373"	"CRTC1"	"protein_coding"	"chr19"	18794487	18893004	"+"
"ENSG00000105664"	"1311"	"COMP"	"protein_coding"	"chr19"	18893583	18902123	"-"
"ENSG00000105668"	"11045"	"UPK1A"	"protein_coding"	"chr19"	36157715	36169367	"+"
"ENSG00000105669"	"11316"	"COPE"	"protein_coding"	"chr19"	19010323	19030206	"-"
"ENSG00000105671"	"54555"	"DDX49"	"protein_coding"	"chr19"	19030484	19039436	"+"
"ENSG00000105672"	"2116"	"ETV2"	"protein_coding"	"chr19"	36132647	36135773	"+"
"ENSG00000105675"	"495"	"ATP4A"	"protein_coding"	"chr19"	36040945	36054560	"-"
"ENSG00000105676"	"93436"	"ARMC6"	"protein_coding"	"chr19"	19144384	19170563	"+"
"ENSG00000105677"	"10430"	"TMEM147"	"protein_coding"	"chr19"	36036497	36038428	"+"
"ENSG00000105679"	"26330"	"GAPDHS"	"protein_coding"	"chr19"	36024314	36036218	"+"
"ENSG00000105695"	"4099"	"MAG"	"protein_coding"	"chr19"	35783028	35804707	"+"
"ENSG00000105696"	"25789"	"TMEM59L"	"protein_coding"	"chr19"	18718240	18731849	"+"
"ENSG00000105697"	"57817"	"HAMP"	"protein_coding"	"chr19"	35771619	35776046	"+"
"ENSG00000105698"	"7392"	"USF2"	"protein_coding"	"chr19"	35759881	35770724	"+"
"ENSG00000105699"	"51599"	"LSR"	"protein_coding"	"chr19"	35739233	35758867	"+"
"ENSG00000105700"	"79036"	"KXD1"	"protein_coding"	"chr19"	18668572	18680197	"+"
"ENSG00000105701"	"23770"	"FKBP8"	"protein_coding"	"chr19"	18642561	18654887	"-"
"ENSG00000105705"	"57794"	"SUGP1"	"protein_coding"	"chr19"	19386827	19431653	"-"
"ENSG00000105707"	"3249"	"HPN"	"protein_coding"	"chr19"	35531410	35557475	"+"
"ENSG00000105708"	"7561"	"ZNF14"	"protein_coding"	"chr19"	19821280	19843906	"-"
"ENSG00000105711"	"6324"	"SCN1B"	"protein_coding"	"chr19"	35521588	35531352	"+"
"ENSG00000105717"	"80714"	"PBX4"	"protein_coding"	"chr19"	19672522	19729725	"-"
"ENSG00000105722"	"2077"	"ERF"	"protein_coding"	"chr19"	42751724	42759309	"-"
"ENSG00000105723"	"2931"	"GSK3A"	"protein_coding"	"chr19"	42734338	42746777	"-"
"ENSG00000105726"	"57130"	"ATP13A1"	"protein_coding"	"chr19"	19756007	19774502	"-"
"ENSG00000105732"	"64763"	"ZNF574"	"protein_coding"	"chr19"	42572629	42585701	"+"
"ENSG00000105737"	"2901"	"GRIK5"	"protein_coding"	"chr19"	42502473	42573650	"-"
"ENSG00000105738"	"23094"	"SIPA1L3"	"protein_coding"	"chr19"	38397868	38699012	"+"
"ENSG00000105750"	"7639"	"ZNF85"	"protein_coding"	"chr19"	21106028	21133503	"+"
"ENSG00000105755"	"23474"	"ETHE1"	"protein_coding"	"chr19"	44010871	44031396	"-"
"ENSG00000105767"	"199731"	"CADM4"	"protein_coding"	"chr19"	44126520	44143991	"-"
"ENSG00000105771"	"56006"	"SMG9"	"protein_coding"	"chr19"	44235301	44259142	"-"
"ENSG00000105778"	"23080"	"AVL9"	"protein_coding"	"chr7"	32535038	33078516	"+"
"ENSG00000105784"	"154661"	"RUNDC3B"	"protein_coding"	"chr7"	87256864	87461611	"+"
"ENSG00000105792"	"79846"	"C7orf63"	"protein_coding"	"chr7"	89874488	89940377	"+"
"ENSG00000105793"	"85865"	"GTPBP10"	"protein_coding"	"chr7"	89964537	90020769	"+"
"ENSG00000105793"	"101927446"	"GTPBP10"	"protein_coding"	"chr7"	89964537	90020769	"+"
"ENSG00000105808"	"10156"	"RASA4"	"protein_coding"	"chr7"	102220093	102257204	"-"
"ENSG00000105808"	"102724229"	"RASA4"	"protein_coding"	"chr7"	102220093	102257204	"-"
"ENSG00000105810"	"1021"	"CDK6"	"protein_coding"	"chr7"	92234235	92465908	"-"
"ENSG00000105819"	"9512"	"PMPCB"	"protein_coding"	"chr7"	102937869	102969958	"+"
"ENSG00000105821"	"27000"	"DNAJC2"	"protein_coding"	"chr7"	102952921	102985320	"-"
"ENSG00000105825"	"7980"	"TFPI2"	"protein_coding"	"chr7"	93514709	93520303	"-"
"ENSG00000105829"	"10282"	"BET1"	"protein_coding"	"chr7"	93592074	93633694	"-"
"ENSG00000105835"	"10135"	"NAMPT"	"protein_coding"	"chr7"	105888731	105926772	"-"
"ENSG00000105849"	"221830"	"TWISTNB"	"protein_coding"	"chr7"	19735085	19748710	"-"
"ENSG00000105851"	"5294"	"PIK3CG"	"protein_coding"	"chr7"	106505723	106547590	"+"
"ENSG00000105852"	"5446"	"PON3"	"protein_coding"	"chr7"	94989256	95025680	"-"
"ENSG00000105854"	"5445"	"PON2"	"protein_coding"	"chr7"	95034175	95064510	"-"
"ENSG00000105855"	"3696"	"ITGB8"	"protein_coding"	"chr7"	20370325	20455377	"+"
"ENSG00000105856"	"26959"	"HBP1"	"protein_coding"	"chr7"	106809406	106842974	"+"
"ENSG00000105865"	"11062"	"DUS4L"	"protein_coding"	"chr7"	107203929	107218906	"+"
"ENSG00000105866"	"6671"	"SP4"	"protein_coding"	"chr7"	21467652	21554440	"+"
"ENSG00000105875"	"29062"	"WDR91"	"protein_coding"	"chr7"	134868590	134896316	"-"
"ENSG00000105877"	"8701"	"DNAH11"	"protein_coding"	"chr7"	21582833	21941457	"+"
"ENSG00000105879"	"79872"	"CBLL1"	"protein_coding"	"chr7"	107384142	107402112	"+"
"ENSG00000105880"	"1749"	"DLX5"	"protein_coding"	"chr7"	96649704	96654409	"-"
"ENSG00000105887"	"136319"	"MTPN"	"protein_coding"	"chr7"	135611509	135662101	"-"
"ENSG00000105889"	"256227"	"STEAP1B"	"protein_coding"	"chr7"	22459063	22672544	"-"
"ENSG00000105894"	"5764"	"PTN"	"protein_coding"	"chr7"	136912088	137028611	"-"
"ENSG00000105926"	"51678"	"MPP6"	"protein_coding"	"chr7"	24612887	24733812	"+"
"ENSG00000105928"	"1687"	"DFNA5"	"protein_coding"	"chr7"	24737972	24809244	"-"
"ENSG00000105929"	"50617"	"ATP6V0A4"	"protein_coding"	"chr7"	138391040	138484305	"-"
"ENSG00000105939"	"56829"	"ZC3HAV1"	"protein_coding"	"chr7"	138728266	138794465	"-"
"ENSG00000105948"	"79989"	"TTC26"	"protein_coding"	"chr7"	138818490	138876732	"+"
"ENSG00000105953"	"4967"	"OGDH"	"protein_coding"	"chr7"	44646171	44748665	"+"
"ENSG00000105954"	"64111"	"NPVF"	"protein_coding"	"chr7"	25264189	25268105	"-"
"ENSG00000105963"	"11033"	"ADAP1"	"protein_coding"	"chr7"	937540	995043	"-"
"ENSG00000105967"	"22797"	"TFEC"	"protein_coding"	"chr7"	115575202	115799950	"-"
"ENSG00000105968"	"94239"	"H2AFV"	"protein_coding"	"chr7"	44866390	44887682	"-"
"ENSG00000105971"	"858"	"CAV2"	"protein_coding"	"chr7"	115927434	116148595	"+"
"ENSG00000105974"	"857"	"CAV1"	"protein_coding"	"chr7"	116164839	116201233	"+"
"ENSG00000105976"	"4233"	"MET"	"protein_coding"	"chr7"	116312444	116438440	"+"
"ENSG00000105982"	"140545"	"RNF32"	"protein_coding"	"chr7"	156432975	156469824	"+"
"ENSG00000105983"	"64327"	"LMBR1"	"protein_coding"	"chr7"	156461646	156685924	"-"
"ENSG00000105989"	"7472"	"WNT2"	"protein_coding"	"chr7"	116916685	116963343	"-"
"ENSG00000105991"	"3198"	"HOXA1"	"protein_coding"	"chr7"	27132612	27135615	"-"
"ENSG00000105993"	"10049"	"DNAJB6"	"protein_coding"	"chr7"	157128075	157210133	"+"
"ENSG00000105996"	"3199"	"HOXA2"	"protein_coding"	"chr7"	27139721	27142430	"-"
"ENSG00000105997"	"3200"	"HOXA3"	"protein_coding"	"chr7"	27145803	27192200	"-"
"ENSG00000106003"	"3955"	"LFNG"	"protein_coding"	"chr7"	2552163	2568811	"+"
"ENSG00000106004"	"3202"	"HOXA5"	"protein_coding"	"chr7"	27180671	27183287	"-"
"ENSG00000106006"	"3203"	"HOXA6"	"protein_coding"	"chr7"	27185015	27190222	"-"
"ENSG00000106009"	"221927"	"BRAT1"	"protein_coding"	"chr7"	2577511	2595361	"-"
"ENSG00000106012"	"23288"	"IQCE"	"protein_coding"	"chr7"	2598632	2654368	"+"
"ENSG00000106013"	"56311"	"ANKRD7"	"protein_coding"	"chr7"	117854727	117882785	"+"
"ENSG00000106018"	"7434"	"VIPR2"	"protein_coding"	"chr7"	158820866	158937649	"-"
"ENSG00000106025"	"23554"	"TSPAN12"	"protein_coding"	"chr7"	120427376	120498456	"-"
"ENSG00000106028"	"6742"	"SSBP1"	"protein_coding"	"chr7"	141438121	141487722	"+"
"ENSG00000106031"	"3209"	"HOXA13"	"protein_coding"	"chr7"	27233122	27239725	"-"
"ENSG00000106034"	"79974"	"CPED1"	"protein_coding"	"chr7"	120628731	120937498	"+"
"ENSG00000106038"	"2128"	"EVX1"	"protein_coding"	"chr7"	27282164	27290112	"+"
"ENSG00000106049"	"11112"	"HIBADH"	"protein_coding"	"chr7"	27565061	27702614	"-"
"ENSG00000106052"	"8887"	"TAX1BP1"	"protein_coding"	"chr7"	27778950	27884183	"+"
"ENSG00000106066"	"54504"	"CPVL"	"protein_coding"	"chr7"	29034847	29235067	"-"
"ENSG00000106069"	"1124"	"CHN2"	"protein_coding"	"chr7"	29161890	29553944	"+"
"ENSG00000106069"	"101928168"	"CHN2"	"protein_coding"	"chr7"	29161890	29553944	"+"
"ENSG00000106070"	"2887"	"GRB10"	"protein_coding"	"chr7"	50657760	50861159	"-"
"ENSG00000106077"	"83451"	"ABHD11"	"protein_coding"	"chr7"	73150424	73153197	"-"
"ENSG00000106078"	"23242"	"COBL"	"protein_coding"	"chr7"	51083909	51384515	"-"
"ENSG00000106080"	"55033"	"FKBP14"	"protein_coding"	"chr7"	30050203	30066300	"-"
"ENSG00000106086"	"84725"	"PLEKHA8"	"protein_coding"	"chr7"	30067020	30170096	"+"
"ENSG00000106089"	"6804"	"STX1A"	"protein_coding"	"chr7"	73113536	73134002	"-"
"ENSG00000106100"	"10392"	"NOD1"	"protein_coding"	"chr7"	30464143	30518400	"-"
"ENSG00000106105"	"2617"	"GARS"	"protein_coding"	"chr7"	30634297	30673649	"+"
"ENSG00000106113"	"1395"	"CRHR2"	"protein_coding"	"chr7"	30692200	30739745	"-"
"ENSG00000106123"	"2051"	"EPHB6"	"protein_coding"	"chr7"	142552792	142568847	"+"
"ENSG00000106125"	"84182"	"FAM188B"	"protein_coding"	"chr7"	30811033	30932002	"+"
"ENSG00000106128"	"2692"	"GHRHR"	"protein_coding"	"chr7"	30978284	31032869	"+"
"ENSG00000106133"	"155400"	"NSUN5P2"	"pseudogene"	"chr7"	72418120	72425329	"-"
"ENSG00000106133"	"260294"	"NSUN5P2"	"pseudogene"	"chr7"	72418120	72425329	"-"
"ENSG00000106144"	"835"	"CASP2"	"protein_coding"	"chr7"	142985308	143004789	"+"
"ENSG00000106153"	"51142"	"CHCHD2"	"protein_coding"	"chr7"	56169262	56174269	"-"
"ENSG00000106178"	"6369"	"CCL24"	"protein_coding"	"chr7"	75440983	75452674	"-"
"ENSG00000106211"	"3315"	"HSPB1"	"protein_coding"	"chr7"	75931861	75933612	"+"
"ENSG00000106236"	"4885"	"NPTX2"	"protein_coding"	"chr7"	98246609	98259180	"+"
"ENSG00000106244"	"11333"	"PDAP1"	"protein_coding"	"chr7"	98989671	99006452	"-"
"ENSG00000106245"	"8896"	"BUD31"	"protein_coding"	"chr7"	99006264	99017239	"+"
"ENSG00000106246"	"26024"	"PTCD1"	"protein_coding"	"chr7"	99014362	99063787	"-"
"ENSG00000106258"	"1577"	"CYP3A5"	"protein_coding"	"chr7"	99245817	99277621	"-"
"ENSG00000106261"	"7586"	"ZKSCAN1"	"protein_coding"	"chr7"	99613204	99639312	"+"
"ENSG00000106263"	"8662"	"EIF3B"	"protein_coding"	"chr7"	2393721	2420380	"+"
"ENSG00000106266"	"29886"	"SNX8"	"protein_coding"	"chr7"	2291405	2393953	"-"
"ENSG00000106268"	"4521"	"NUDT1"	"protein_coding"	"chr7"	2281857	2290781	"+"
"ENSG00000106278"	"5803"	"PTPRZ1"	"protein_coding"	"chr7"	121513143	121702090	"+"
"ENSG00000106290"	"6878"	"TAF6"	"protein_coding"	"chr7"	99704693	99717464	"-"
"ENSG00000106299"	"8976"	"WASL"	"protein_coding"	"chr7"	123321989	123389121	"-"
"ENSG00000106302"	"23553"	"HYAL4"	"protein_coding"	"chr7"	123469037	123517532	"+"
"ENSG00000106304"	"6677"	"SPAM1"	"protein_coding"	"chr7"	123565286	123611468	"+"
"ENSG00000106305"	"7965"	"AIMP2"	"protein_coding"	"chr7"	6048876	6063465	"+"
"ENSG00000106327"	"7036"	"TFR2"	"protein_coding"	"chr7"	100218039	100240402	"-"
"ENSG00000106328"	"29999"	"FSCN3"	"protein_coding"	"chr7"	127231463	127242198	"+"
"ENSG00000106330"	"64598"	"MOSPD3"	"protein_coding"	"chr7"	100209725	100213007	"+"
"ENSG00000106331"	"5078"	"PAX4"	"protein_coding"	"chr7"	127250346	127255982	"-"
"ENSG00000106333"	"5118"	"PCOLCE"	"protein_coding"	"chr7"	100199800	100205798	"+"
"ENSG00000106336"	"26261"	"FBXO24"	"protein_coding"	"chr7"	100181605	100198740	"+"
"ENSG00000106341"	"10842"	"PPP1R17"	"protein_coding"	"chr7"	31726329	31748069	"+"
"ENSG00000106344"	"55131"	"RBM28"	"protein_coding"	"chr7"	127937738	127983962	"-"
"ENSG00000106346"	"84132"	"USP42"	"protein_coding"	"chr7"	6144515	6201195	"+"
"ENSG00000106348"	"3614"	"IMPDH1"	"protein_coding"	"chr7"	128032331	128050306	"-"
"ENSG00000106351"	"3268"	"AGFG2"	"protein_coding"	"chr7"	100136834	100165842	"+"
"ENSG00000106355"	"23658"	"LSM5"	"protein_coding"	"chr7"	32524951	32534895	"-"
"ENSG00000106366"	"5054"	"SERPINE1"	"protein_coding"	"chr7"	100770370	100782547	"+"
"ENSG00000106367"	"1174"	"AP1S1"	"protein_coding"	"chr7"	100797678	100804877	"+"
"ENSG00000106384"	"346606"	"MOGAT3"	"protein_coding"	"chr7"	100838288	100844302	"-"
"ENSG00000106392"	"56913"	"C1GALT1"	"protein_coding"	"chr7"	7196565	7288282	"+"
"ENSG00000106397"	"8985"	"PLOD3"	"protein_coding"	"chr7"	100849258	100861701	"-"
"ENSG00000106399"	"6119"	"RPA3"	"protein_coding"	"chr7"	7676149	7758238	"-"
"ENSG00000106400"	"10467"	"ZNHIT1"	"protein_coding"	"chr7"	100860949	100867471	"+"
"ENSG00000106404"	"24146"	"CLDN15"	"protein_coding"	"chr7"	100875373	100882101	"-"
"ENSG00000106410"	"135935"	"NOBOX"	"protein_coding"	"chr7"	144094333	144107320	"-"
"ENSG00000106415"	"113263"	"GLCCI1"	"protein_coding"	"chr7"	8008425	8133902	"+"
"ENSG00000106436"	"93408"	"MYL10"	"protein_coding"	"chr7"	101256605	101272576	"-"
"ENSG00000106443"	"9678"	"PHF14"	"protein_coding"	"chr7"	11013499	11209250	"+"
"ENSG00000106459"	"4899"	"NRF1"	"protein_coding"	"chr7"	129251555	129396922	"+"
"ENSG00000106460"	"54664"	"TMEM106B"	"protein_coding"	"chr7"	12250867	12282993	"+"
"ENSG00000106462"	"2146"	"EZH2"	"protein_coding"	"chr7"	148504475	148581413	"-"
"ENSG00000106477"	"95681"	"CEP41"	"protein_coding"	"chr7"	130033612	130082274	"-"
"ENSG00000106479"	"643641"	"ZNF862"	"protein_coding"	"chr7"	149535456	149564568	"+"
"ENSG00000106483"	"6424"	"SFRP4"	"protein_coding"	"chr7"	37945543	38065297	"-"
"ENSG00000106484"	"4232"	"MEST"	"protein_coding"	"chr7"	130126012	130146133	"+"
"ENSG00000106511"	"4223"	"MEOX2"	"protein_coding"	"chr7"	15650837	15726437	"-"
"ENSG00000106524"	"57037"	"ANKMY2"	"protein_coding"	"chr7"	16639401	16685442	"-"
"ENSG00000106526"	"653857"	"ACTR3C"	"protein_coding"	"chr7"	149941005	150020814	"-"
"ENSG00000106536"	"11281"	"POU6F2"	"protein_coding"	"chr7"	39017598	39532694	"+"
"ENSG00000106537"	"27075"	"TSPAN13"	"protein_coding"	"chr7"	16793160	16824161	"+"
"ENSG00000106538"	"5919"	"RARRES2"	"protein_coding"	"chr7"	150035408	150038763	"-"
"ENSG00000106541"	"10551"	"AGR2"	"protein_coding"	"chr7"	16831435	16873057	"-"
"ENSG00000106546"	"196"	"AHR"	"protein_coding"	"chr7"	17338246	17385776	"+"
"ENSG00000106554"	"54927"	"CHCHD3"	"protein_coding"	"chr7"	132469629	132766848	"-"
"ENSG00000106560"	"26157"	"GIMAP2"	"protein_coding"	"chr7"	150382785	150390729	"+"
"ENSG00000106565"	"28959"	"TMEM176B"	"protein_coding"	"chr7"	150488373	150498448	"-"
"ENSG00000106571"	"2737"	"GLI3"	"protein_coding"	"chr7"	42000548	42277469	"-"
"ENSG00000106588"	"5683"	"PSMA2"	"protein_coding"	"chr7"	42956460	42971822	"-"
"ENSG00000106591"	"64983"	"MRPL32"	"protein_coding"	"chr7"	42971799	42988557	"+"
"ENSG00000106603"	"55744"	"COA1"	"protein_coding"	"chr7"	43648055	43769316	"-"
"ENSG00000106605"	"644"	"BLVRA"	"protein_coding"	"chr7"	43798279	43846939	"+"
"ENSG00000106608"	"55665"	"URGCP"	"protein_coding"	"chr7"	43915493	43966010	"-"
"ENSG00000106609"	"55069"	"TMEM248"	"protein_coding"	"chr7"	66386212	66423538	"+"
"ENSG00000106610"	"64940"	"STAG3L4"	"pseudogene"	"chr7"	66767608	66786513	"+"
"ENSG00000106615"	"6009"	"RHEB"	"protein_coding"	"chr7"	151163098	151217206	"-"
"ENSG00000106617"	"51422"	"PRKAG2"	"protein_coding"	"chr7"	151253197	151574210	"-"
"ENSG00000106624"	"165"	"AEBP1"	"protein_coding"	"chr7"	44143960	44154161	"+"
"ENSG00000106628"	"5425"	"POLD2"	"protein_coding"	"chr7"	44154286	44163957	"-"
"ENSG00000106631"	"58498"	"MYL7"	"protein_coding"	"chr7"	44178463	44180931	"-"
"ENSG00000106633"	"2645"	"GCK"	"protein_coding"	"chr7"	44183872	44237769	"-"
"ENSG00000106635"	"9275"	"BCL7B"	"protein_coding"	"chr7"	72950686	72972332	"-"
"ENSG00000106636"	"10652"	"YKT6"	"protein_coding"	"chr7"	44240567	44253893	"+"
"ENSG00000106638"	"26608"	"TBL2"	"protein_coding"	"chr7"	72983262	72993121	"-"
"ENSG00000106648"	"168391"	"GALNTL5"	"protein_coding"	"chr7"	151653464	151717019	"+"
"ENSG00000106665"	"7461"	"CLIP2"	"protein_coding"	"chr7"	73703805	73820273	"+"
"ENSG00000106682"	"7458"	"EIF4H"	"protein_coding"	"chr7"	73588575	73611431	"+"
"ENSG00000106683"	"3984"	"LIMK1"	"protein_coding"	"chr7"	73497263	73536855	"+"
"ENSG00000106686"	"55064"	"SPATA6L"	"protein_coding"	"chr9"	4553386	4666674	"-"
"ENSG00000106688"	"6505"	"SLC1A1"	"protein_coding"	"chr9"	4490444	4587469	"+"
"ENSG00000106689"	"9355"	"LHX2"	"protein_coding"	"chr9"	126763949	126795580	"+"
"ENSG00000106692"	"2218"	"FKTN"	"protein_coding"	"chr9"	108320411	108403399	"+"
"ENSG00000106701"	"83856"	"FSD1L"	"protein_coding"	"chr9"	108210077	108314714	"+"
"ENSG00000106714"	"79937"	"CNTNAP3"	"protein_coding"	"chr9"	39072764	39288312	"-"
"ENSG00000106723"	"10927"	"SPIN1"	"protein_coding"	"chr9"	91003334	91093609	"+"
"ENSG00000106733"	"54981"	"NMRK1"	"protein_coding"	"chr9"	77675489	77703133	"-"
"ENSG00000106771"	"23731"	"TMEM245"	"protein_coding"	"chr9"	111777432	111882225	"-"
"ENSG00000106772"	"158471"	"PRUNE2"	"protein_coding"	"chr9"	79226292	79521003	"-"
"ENSG00000106780"	"1955"	"MEGF9"	"protein_coding"	"chr9"	123363091	123476748	"-"
"ENSG00000106785"	"9830"	"TRIM14"	"protein_coding"	"chr9"	100831557	100881494	"-"
"ENSG00000106789"	"7464"	"CORO2A"	"protein_coding"	"chr9"	100883257	100954922	"-"
"ENSG00000106799"	"7046"	"TGFBR1"	"protein_coding"	"chr9"	101866320	101916474	"+"
"ENSG00000106803"	"10952"	"SEC61B"	"protein_coding"	"chr9"	101984346	101992897	"+"
"ENSG00000106804"	"727"	"C5"	"protein_coding"	"chr9"	123714616	123812554	"-"
"ENSG00000106809"	"4969"	"OGN"	"protein_coding"	"chr9"	95146249	95166978	"-"
"ENSG00000106819"	"54829"	"ASPN"	"protein_coding"	"chr9"	95218487	95244788	"-"
"ENSG00000106823"	"1842"	"ECM2"	"protein_coding"	"chr9"	95256365	95298937	"-"
"ENSG00000106829"	"7091"	"TLE4"	"protein_coding"	"chr9"	82186688	82341658	"+"
"ENSG00000106852"	"26468"	"LHX6"	"protein_coding"	"chr9"	124964856	124991905	"-"
"ENSG00000106853"	"22949"	"PTGR1"	"protein_coding"	"chr9"	114312002	114362135	"-"
"ENSG00000106868"	"64420"	"SUSD1"	"protein_coding"	"chr9"	114803065	114937688	"-"
"ENSG00000106927"	"259"	"AMBP"	"protein_coding"	"chr9"	116822407	116840752	"-"
"ENSG00000106948"	"80709"	"AKNA"	"protein_coding"	"chr9"	117096436	117156685	"-"
"ENSG00000106952"	"944"	"TNFSF8"	"protein_coding"	"chr9"	117656003	117692697	"-"
"ENSG00000106976"	"1759"	"DNM1"	"protein_coding"	"chr9"	130965658	131017527	"+"
"ENSG00000106991"	"2022"	"ENG"	"protein_coding"	"chr9"	130577291	130617035	"-"
"ENSG00000106992"	"203"	"AK1"	"protein_coding"	"chr9"	130628759	130640022	"-"
"ENSG00000106993"	"55664"	"CDC37L1"	"protein_coding"	"chr9"	4679559	4708398	"+"
"ENSG00000107014"	"6019"	"RLN2"	"protein_coding"	"chr9"	5299868	5304969	"-"
"ENSG00000107018"	"6013"	"RLN1"	"protein_coding"	"chr9"	5334969	5339873	"-"
"ENSG00000107020"	"55848"	"PLGRKT"	"protein_coding"	"chr9"	5357973	5437878	"-"
"ENSG00000107021"	"54662"	"TBC1D13"	"protein_coding"	"chr9"	131549483	131572711	"+"
"ENSG00000107036"	"57589"	"KIAA1432"	"protein_coding"	"chr9"	5629025	5776557	"+"
"ENSG00000107077"	"23081"	"KDM4C"	"protein_coding"	"chr9"	6720863	7175648	"+"
"ENSG00000107099"	"81704"	"DOCK8"	"protein_coding"	"chr9"	214854	465259	"+"
"ENSG00000107104"	"23189"	"KANK1"	"protein_coding"	"chr9"	470291	746105	"+"
"ENSG00000107105"	"1993"	"ELAVL2"	"protein_coding"	"chr9"	23690102	23826335	"-"
"ENSG00000107130"	"23413"	"NCS1"	"protein_coding"	"chr9"	132934857	132999583	"+"
